Name;Team;City;Position;Nationality;Agency;Transfer cost;Participations;Goals;Assists;Yellow cards;Red cards
Valarie Kozey;New Mexico ogres;Georgia;FORWARD;Ghana;Bogisich-Rempel;35776993;26;10;28;5;6
Rebeca Heller PhD;Florida tigers;Washington;GOALKEEPER;Croatia;Bahringer-Larson;72494545;18;4;29;4;9
Danette Heaney;Mississippi witches;Virginia;MIDFIELD;Korea (Democratic People's Republic of);Schaden, Robel and Raynor;77198084;4;3;13;1;5
Stewart Barton;Mississippi witches;Virginia;DEFENDER;Qatar;Fadel LLC;99654949;18;27;4;6;3
Barry Schinner;Mississippi witches;Virginia;FORWARD;Ghana;Walker and Sons;44155187;14;18;21;5;4
Jovita Jakubowski PhD;Hawaii oxen;Oklahoma;DEFENDER;Korea (Democratic People's Republic of);D'Amore LLC;30155229;16;4;0;5;2
Isabell Grimes;New Mexico ogres;Georgia;DEFENDER;Germany;Walker and Sons;70169245;7;18;2;9;7
Leandro Torphy;Nevada whales;South Carolina;MIDFIELD;Ecuador;D'Amore LLC;11455592;2;5;6;8;1
Neta Bayer;Florida tigers;Washington;GOALKEEPER;Palau;Graham-Powlowski;43033953;19;15;26;8;3
Stanley Huel V;Mississippi witches;Virginia;DEFENDER;Mozambique;Graham-Powlowski;72162189;4;6;23;3;6
Ferdinand Howell;New Mexico ogres;Georgia;GOALKEEPER;Mozambique;Jakubowski and Sons;97764932;1;0;20;0;9
Louetta Bechtelar;Hawaii oxen;Oklahoma;DEFENDER;Brazil;Jakubowski and Sons;50974118;27;23;24;8;7
Ms. Jim Hilpert;Hawaii oxen;Oklahoma;DEFENDER;Qatar;;58449144;7;0;22;8;1
Mrs. Marita Crooks;North Carolina dolphins;Tennessee;MIDFIELD;Colombia;Bahringer-Larson;72060289;22;14;12;1;0
Justa Bogan;Minnesota giants;Washington;GOALKEEPER;Palau;;14904333;4;7;26;4;1
Maura Deckow;Mississippi witches;Virginia;GOALKEEPER;Brazil;Bogisich-Rempel;74416093;15;4;12;9;7
Mrs. Merna Hermann;New Mexico ogres;Georgia;GOALKEEPER;Brazil;Walker and Sons;14492287;22;7;3;7;0
Alonzo King;New Mexico ogres;Georgia;GOALKEEPER;Croatia;Hauck Inc;12920711;17;16;12;0;7
Tamika Zboncak;Wisconsin prophets;Vermont;MIDFIELD;Qatar;Jakubowski and Sons;4278500;2;29;22;4;9
Brandon Kilback;New Mexico ogres;Georgia;GOALKEEPER;Germany;Bogisich-Rempel;27600151;8;7;22;8;0
Venita Quigley;Utah nemesis;New York;GOALKEEPER;Colombia;Price-Hirthe;2282296;2;6;19;4;9
Sergio Kub;New Mexico ogres;Georgia;DEFENDER;Ecuador;;2927443;19;3;19;2;6
Miss Muriel Schultz;Utah nemesis;New York;FORWARD;Germany;D'Amore LLC;80347983;13;25;27;9;9
Augustus Pacocha MD;Massachusetts enchanters;Connecticut;FORWARD;Mozambique;;43373350;16;2;17;2;2
Benito Kreiger;Nevada whales;South Carolina;MIDFIELD;Colombia;D'Amore LLC;96017118;0;0;0;1;6
Trey Ward III;New Mexico ogres;Georgia;MIDFIELD;Croatia;Walker and Sons;9747270;5;8;12;3;2
Nydia Pfannerstill;Utah nemesis;New York;FORWARD;Germany;Price-Hirthe;9637679;19;27;12;5;2
Mario Armstrong;Utah nemesis;New York;FORWARD;Germany;Bahringer-Larson;96615528;28;4;17;4;7
Donita Schimmel;Minnesota giants;Washington;MIDFIELD;Croatia;D'Amore LLC;24635495;12;1;19;4;5
Myron Lemke;Wisconsin prophets;Vermont;GOALKEEPER;Germany;Bahringer-Larson;19434025;12;26;5;4;6
Joni Rowe;New Mexico ogres;Georgia;FORWARD;Germany;Price-Hirthe;27227518;2;1;4;2;1
Ms. Jutta Terry;New Mexico ogres;Georgia;GOALKEEPER;Ecuador;Hauck Inc;86667140;7;8;15;4;7
Calvin Gleason;Massachusetts enchanters;Connecticut;DEFENDER;Brazil;Hauck Inc;58635459;16;4;20;2;1
Ron Trantow;Utah nemesis;New York;FORWARD;Mozambique;Bahringer-Larson;54485745;4;16;27;5;7
Herb Braun Jr.;Florida tigers;Washington;DEFENDER;Korea (Democratic People's Republic of);Fadel LLC;94450193;16;9;19;0;4
Margorie Kohler;Florida tigers;Washington;MIDFIELD;Ecuador;Fadel LLC;72173609;25;20;24;1;8
Ardath Stehr I;Massachusetts enchanters;Connecticut;MIDFIELD;Brazil;D'Amore LLC;40846234;29;9;12;7;6
Winston Klein;Massachusetts enchanters;Connecticut;MIDFIELD;Qatar;Bahringer-Larson;26313596;6;9;11;6;9
Doretha Kuhlman;Wisconsin prophets;Vermont;DEFENDER;Ghana;Jakubowski and Sons;65974358;18;7;11;4;0
Tinisha Russel;Minnesota giants;Washington;GOALKEEPER;Palau;Fadel LLC;93161684;8;6;22;0;0
Elijah Miller;Minnesota giants;Washington;FORWARD;Ghana;Bogisich-Rempel;24036368;27;4;25;0;2
Ms. Brandie Wiegand;Massachusetts enchanters;Connecticut;GOALKEEPER;Palau;Bogisich-Rempel;38420562;2;7;5;8;8
Isreal Mueller;Hawaii oxen;Oklahoma;DEFENDER;Croatia;Jakubowski and Sons;63157269;2;7;22;8;8
Alexander Hermiston;North Carolina dolphins;Tennessee;DEFENDER;Qatar;Bahringer-Larson;9845897;13;13;19;2;8
Ms. Slyvia Erdman;Massachusetts enchanters;Connecticut;FORWARD;Ecuador;Schaden, Robel and Raynor;88109698;0;27;22;3;1
Tona Collins;Utah nemesis;New York;FORWARD;Brazil;Price-Hirthe;81392483;28;28;24;5;3
Dianna Franecki;Utah nemesis;New York;GOALKEEPER;Colombia;D'Amore LLC;27245617;26;12;1;9;4
Harlan Bins;New Mexico ogres;Georgia;GOALKEEPER;Palau;Bogisich-Rempel;49264536;21;1;17;8;5
Marquetta Schowalter;Florida tigers;Washington;FORWARD;Korea (Democratic People's Republic of);Bahringer-Larson;22417993;22;8;15;7;6
Roderick Hand;Minnesota giants;Washington;GOALKEEPER;Croatia;D'Amore LLC;54276045;20;6;4;0;9
Antonia Ledner;Wisconsin prophets;Vermont;MIDFIELD;Palau;Walker and Sons;45000551;29;27;26;3;3
Federico DuBuque;New Mexico ogres;Georgia;DEFENDER;Ecuador;Fadel LLC;10214744;7;16;20;4;6
Sheridan Dickinson;Utah nemesis;New York;GOALKEEPER;Qatar;Graham-Powlowski;36559477;15;5;11;4;9
Chad Jaskolski;North Carolina dolphins;Tennessee;FORWARD;Mozambique;Bogisich-Rempel;98338198;0;10;29;0;7
Jacinda Bednar;Mississippi witches;Virginia;MIDFIELD;Palau;Hauck Inc;79610637;5;22;21;2;0
Paz Jacobs III;Florida tigers;Washington;DEFENDER;Croatia;D'Amore LLC;23376109;0;18;6;0;0
Gracie Will DVM;Wisconsin prophets;Vermont;DEFENDER;Palau;Bahringer-Larson;11395729;18;20;6;6;9
Colton Lueilwitz;Nevada whales;South Carolina;DEFENDER;Ecuador;Graham-Powlowski;32655468;0;16;23;1;0
Keila Christiansen I;Utah nemesis;New York;MIDFIELD;Ecuador;Price-Hirthe;24536019;28;28;27;0;9
Mrs. Wayne Hagenes;Wisconsin prophets;Vermont;MIDFIELD;Brazil;Bahringer-Larson;4203269;13;10;20;2;3
Zaida Ortiz;Hawaii oxen;Oklahoma;DEFENDER;Croatia;;40636701;29;0;13;9;4
Bryant Fisher;Mississippi witches;Virginia;MIDFIELD;Palau;Hauck Inc;54122710;19;19;10;0;9
Malcom Cummings;Utah nemesis;New York;MIDFIELD;Germany;D'Amore LLC;82376854;14;29;25;3;8
Mrs. Mercedez Daniel;New Mexico ogres;Georgia;DEFENDER;Brazil;Hauck Inc;40857689;4;13;15;9;6
Ms. Zachariah Mueller;North Carolina dolphins;Tennessee;MIDFIELD;Germany;Price-Hirthe;69108675;6;1;9;8;7
Aurea Wehner II;Massachusetts enchanters;Connecticut;GOALKEEPER;Croatia;Jakubowski and Sons;33254770;23;16;29;0;1
Tillie Harris;Florida tigers;Washington;MIDFIELD;Qatar;Bahringer-Larson;86404679;25;2;26;1;8
Travis Ryan;Utah nemesis;New York;FORWARD;Germany;Graham-Powlowski;31862745;11;25;3;7;3
Thomas Quigley Sr.;Hawaii oxen;Oklahoma;MIDFIELD;Mozambique;Walker and Sons;58974935;9;24;24;9;9
Roseanna Hilll;Hawaii oxen;Oklahoma;GOALKEEPER;Brazil;D'Amore LLC;1829583;23;16;24;1;8
Leonia Herzog;Hawaii oxen;Oklahoma;FORWARD;Brazil;Jakubowski and Sons;86274134;18;0;2;4;8
Edmund Nolan II;Massachusetts enchanters;Connecticut;MIDFIELD;Ghana;Walker and Sons;44464463;14;24;3;9;9
Ward Kris;Nevada whales;South Carolina;DEFENDER;Brazil;Walker and Sons;51833490;5;11;8;4;3
Lane Gleason;New Mexico ogres;Georgia;MIDFIELD;Ghana;Graham-Powlowski;68115934;24;13;19;5;2
Cherlyn Renner;Massachusetts enchanters;Connecticut;GOALKEEPER;Germany;Schaden, Robel and Raynor;36875943;12;15;19;4;6
Hosea Collins;Massachusetts enchanters;Connecticut;DEFENDER;Qatar;D'Amore LLC;14869491;18;1;29;9;1
Miss Tanika Goyette;Utah nemesis;New York;DEFENDER;Qatar;D'Amore LLC;21061368;24;3;8;1;0
Dr. Issac Dare;Florida tigers;Washington;FORWARD;Qatar;Jakubowski and Sons;18646283;25;15;5;3;8
William Haag;Wisconsin prophets;Vermont;GOALKEEPER;Ecuador;Fadel LLC;63756749;25;17;26;6;6
Tonda Spencer;Florida tigers;Washington;FORWARD;Colombia;Bogisich-Rempel;7380307;3;11;21;7;4
Miss Morgan Ebert;Nevada whales;South Carolina;FORWARD;Mozambique;Bogisich-Rempel;32499348;2;4;21;0;3
Pablo Swaniawski;Minnesota giants;Washington;DEFENDER;Colombia;Fadel LLC;25699067;6;8;2;6;7
Cindi Hansen;New Mexico ogres;Georgia;FORWARD;Palau;D'Amore LLC;51181247;13;19;28;4;6
Amado West;Hawaii oxen;Oklahoma;FORWARD;Qatar;D'Amore LLC;4005916;0;17;19;2;9
Krystle Cummings Sr.;Florida tigers;Washington;DEFENDER;Mozambique;D'Amore LLC;16714302;26;25;14;0;5
Mrs. Marlene Klocko;New Mexico ogres;Georgia;DEFENDER;Mozambique;Fadel LLC;83261774;8;9;20;4;4
Laticia Langosh;Minnesota giants;Washington;DEFENDER;Korea (Democratic People's Republic of);Price-Hirthe;86454178;9;24;25;6;4
Joline Blanda;Massachusetts enchanters;Connecticut;GOALKEEPER;Germany;Bogisich-Rempel;80907984;7;15;26;7;0
Percy Pollich DDS;New Mexico ogres;Georgia;GOALKEEPER;Mozambique;Jakubowski and Sons;64171602;4;24;29;8;9
Christopher Torphy V;Wisconsin prophets;Vermont;GOALKEEPER;Ecuador;;43339680;27;19;20;3;9
Eloise Daugherty;Florida tigers;Washington;DEFENDER;Ghana;Price-Hirthe;1451569;23;1;29;8;2
Branden O'Conner;Utah nemesis;New York;FORWARD;Mozambique;;30101798;20;18;22;7;6
Eddie Adams;Nevada whales;South Carolina;GOALKEEPER;Qatar;Schaden, Robel and Raynor;36429259;16;24;19;4;9
Marcelo Kessler;Nevada whales;South Carolina;GOALKEEPER;Germany;Jakubowski and Sons;51812758;21;29;18;0;0
Dr. Darci Abbott;Mississippi witches;Virginia;FORWARD;Qatar;Walker and Sons;79499682;13;29;22;3;0
Jannette Lemke V;Florida tigers;Washington;FORWARD;Germany;Graham-Powlowski;9111003;26;20;21;8;4
Concepcion Kassulke;Mississippi witches;Virginia;GOALKEEPER;Croatia;Jakubowski and Sons;56147774;3;17;26;3;1
Gary Kunde;Minnesota giants;Washington;DEFENDER;Korea (Democratic People's Republic of);Bogisich-Rempel;71001765;9;3;21;7;0
Buck Sporer;North Carolina dolphins;Tennessee;FORWARD;Palau;Walker and Sons;98966455;16;3;20;9;0
Fred Bogisich;Minnesota giants;Washington;DEFENDER;Croatia;Walker and Sons;13276868;23;18;18;3;5
Owen Batz;Massachusetts enchanters;Connecticut;FORWARD;Colombia;Fadel LLC;84592729;18;5;27;7;3
Evan Schultz DVM;New Mexico ogres;Georgia;DEFENDER;Mozambique;Jakubowski and Sons;25586072;2;4;13;7;0
Aaron Marks;New Mexico ogres;Georgia;MIDFIELD;Germany;Hauck Inc;95898727;22;21;17;8;3
Vivien Deckow;New Mexico ogres;Georgia;MIDFIELD;Croatia;Fadel LLC;22108589;17;25;17;1;9
Eugene Lakin;Mississippi witches;Virginia;MIDFIELD;Germany;Schaden, Robel and Raynor;16316168;4;0;4;2;5
Mabel Volkman;Minnesota giants;Washington;GOALKEEPER;Ghana;Jakubowski and Sons;7891051;28;5;25;7;2
Mr. Keven Quitzon;Nevada whales;South Carolina;MIDFIELD;Brazil;;71671367;29;23;17;0;3
Sumiko West;New Mexico ogres;Georgia;MIDFIELD;Korea (Democratic People's Republic of);D'Amore LLC;81525033;27;27;5;8;1
Ms. Tyler Thiel;Nevada whales;South Carolina;GOALKEEPER;Palau;Schaden, Robel and Raynor;50746564;16;6;1;8;0
Henry Paucek;New Mexico ogres;Georgia;GOALKEEPER;Mozambique;;59052738;21;15;22;1;0
Dr. Alec Herzog;Hawaii oxen;Oklahoma;GOALKEEPER;Palau;Jakubowski and Sons;3184115;6;9;12;6;5
Ronda McCullough DDS;Florida tigers;Washington;FORWARD;Germany;Bahringer-Larson;79147097;29;0;5;0;5
Darius Waters IV;Minnesota giants;Washington;GOALKEEPER;Croatia;Bogisich-Rempel;1850405;8;2;18;4;0
Jennell Bogan;Massachusetts enchanters;Connecticut;FORWARD;Brazil;Jakubowski and Sons;62698825;12;23;18;0;5
Julian Bechtelar;Hawaii oxen;Oklahoma;MIDFIELD;Croatia;Price-Hirthe;47556102;14;17;3;0;9
Miss Agnus Senger;Minnesota giants;Washington;GOALKEEPER;Ecuador;Graham-Powlowski;81507717;13;2;29;9;8
Mrs. Joette Carter;Hawaii oxen;Oklahoma;GOALKEEPER;Germany;Bahringer-Larson;75967270;18;26;15;6;3
Randall Hilpert;North Carolina dolphins;Tennessee;DEFENDER;Ghana;Bahringer-Larson;54202579;21;2;13;8;0
Connie Hegmann;North Carolina dolphins;Tennessee;DEFENDER;Ecuador;Bogisich-Rempel;97729347;2;8;28;4;5
Leda Orn III;Nevada whales;South Carolina;MIDFIELD;Ghana;;53608367;19;5;18;2;0
Thomas Howell DVM;Mississippi witches;Virginia;FORWARD;Colombia;;32821305;2;27;26;2;7
Sherril Jacobs DDS;Massachusetts enchanters;Connecticut;MIDFIELD;Germany;Hauck Inc;39373848;20;16;21;2;1
Antonina Reinger DVM;Hawaii oxen;Oklahoma;FORWARD;Ghana;Walker and Sons;99974008;4;27;18;8;4
Lourdes Schoen;Minnesota giants;Washington;DEFENDER;Croatia;Graham-Powlowski;87664016;13;29;13;5;2
Lilli Pagac;North Carolina dolphins;Tennessee;FORWARD;Qatar;Jakubowski and Sons;44568969;8;16;29;3;5
Mitsuko Fadel;Wisconsin prophets;Vermont;FORWARD;Qatar;Price-Hirthe;47975979;4;16;0;0;6
